Station,Platform,Sch. Arrival,Sch. Departure,Actual Arrival / Departure,Avg. Speed,Train Status
Delhi S Rohilla (DEE),3,Source,11:35 PM,Source / E.T.D.: 11:35 PM,-,-
Delhi Cantt (DEC),-,11:52 PM,11:54 PM,E.T.A.: 11:52 PM / E.T.D.: 11:54 PM,-,-
Gurgaon (GGN),-,12:10 AM,12:12 AM,E.T.A.: 12:10 AM / E.T.D.: 12:12 AM,-,-
Rewari (RE),5,01:05 AM,01:10 AM,E.T.A.: 01:05 AM / E.T.D.: 01:10 AM,-,-
Mahendragarh (MHRG),1,01:44 AM,01:46 AM,E.T.A.: 01:44 AM / E.T.D.: 01:46 AM,-,-
Loharu (LHU),1,02:15 AM,02:20 AM,E.T.A.: 02:15 AM / E.T.D.: 02:20 AM,-,-
Sadulpur Jn (SDLP),1,03:05 AM,03:10 AM,E.T.A.: 03:05 AM / E.T.D.: 03:10 AM,-,-
Churu (CUR),1,03:52 AM,04:02 AM,E.T.A.: 03:52 AM / E.T.D.: 04:02 AM,-,-
Ratangarh Jn (RTGH),1,04:35 AM,04:40 AM,E.T.A.: 04:35 AM / E.T.D.: 04:40 AM,-,-
Rajaldesar (RJR),1,04:53 AM,04:55 AM,E.T.A.: 04:53 AM / E.T.D.: 04:55 AM,-,-
Sri Dungargarh (SDGH),1,05:28 AM,05:30 AM,E.T.A.: 05:28 AM / E.T.D.: 05:30 AM,-,-
Sudsar (SDF),1,05:48 AM,05:50 AM,E.T.A.: 05:48 AM / E.T.D.: 05:50 AM,-,-
Napasar (NPS),1,06:07 AM,06:09 AM,E.T.A.: 06:07 AM / E.T.D.: 06:09 AM,-,-
Bikaner Jn (BKN),2,07:20 AM,Destination,E.T.A.: 07:20 AM / E.T.D.: 05:30 AM,-,-
